model	exp	status	vram_gb	sec_per_img
flux2-klein-9b	coloring-book	FAIL	-	-
flux2-klein-9b	flat-illust	FAIL	-	-
flux2-klein-9b	educational-flat	FAIL	-	-
sd35-medium	coloring-book	FAIL	-	-
sd35-medium	flat-illust	FAIL	-	-
sd35-medium	educational-flat	FAIL	-	-
sana-1600m	coloring-book	OK	10.16	3.75
sana-1600m	flat-illust	OK	10.16	3.76
sana-1600m	educational-flat	OK	10.16	3.83
lumina2	coloring-book	FAIL	-	-
lumina2	flat-illust	FAIL	-	-
lumina2	educational-flat	FAIL	-	-
qwen-image	coloring-book	FAIL	-	-
qwen-image	flat-illust	FAIL	-	-
qwen-image	educational-flat	FAIL	-	-
ideogram-4	coloring-book	FAIL	-	-
ideogram-4	flat-illust	FAIL	-	-
ideogram-4	educational-flat	FAIL	-	-
