model	exp	status	vram_gb	sec_per_img
flux2-klein-4b	coloring-book-es	OK	17.32	2.98
flux2-klein-4b	flat-illust-es	OK	17.32	3.15
flux2-klein-4b	educational-flat	OK	17.32	3.11
flux2-klein-4b	educational-flat-es	OK	17.32	3.13
flux2-klein-4b	diagram-clean	OK	17.32	3.09
flux2-klein-4b	diagram-whiteboard	OK	17.32	3.13
flux2-klein-4b	formula-chalkboard	OK	17.32	3.49
flux2-klein-4b	formula-print	OK	17.32	3.06
flux2-klein-4b	history-flat	OK	17.32	3.25
flux2-klein-4b	history-storybook	OK	17.32	3.34
flux2-klein-4b-base	coloring-book-es	OK	17.33	64.3
flux2-klein-4b-base	flat-illust-es	OK	17.33	64.31
flux2-klein-4b-base	educational-flat	OK	17.33	64.18
flux2-klein-4b-base	educational-flat-es	OK	17.33	64.18
flux2-klein-4b-base	diagram-clean	OK	17.33	64.04
flux2-klein-4b-base	diagram-whiteboard	OK	17.33	64.21
flux2-klein-4b-base	formula-chalkboard	OK	17.33	64.48
flux2-klein-4b-base	formula-print	OK	17.33	64.17
flux2-klein-4b-base	history-flat	OK	17.33	64.27
flux2-klein-4b-base	history-storybook	OK	17.33	64.32
zimage-turbo	coloring-book-es	OK	21.67	19.01
zimage-turbo	flat-illust-es	OK	21.67	18.94
zimage-turbo	educational-flat	OK	21.67	18.36
zimage-turbo	educational-flat-es	OK	21.67	18.39
zimage-turbo	diagram-clean	OK	21.67	18.59
zimage-turbo	diagram-whiteboard	OK	21.67	18.75
zimage-turbo	formula-chalkboard	OK	21.67	18.76
zimage-turbo	formula-print	OK	21.67	18.56
zimage-turbo	history-flat	OK	21.67	19.06
zimage-turbo	history-storybook	OK	21.67	18.75
sdxl	coloring-book-es	OK	10.74	8.91
sdxl	flat-illust-es	OK	10.74	8.87
sdxl	educational-flat	OK	10.74	8.97
sdxl	educational-flat-es	OK	10.74	9.01
sdxl	diagram-clean	OK	10.74	8.96
sdxl	diagram-whiteboard	OK	10.74	8.98
sdxl	formula-chalkboard	OK	10.74	8.97
sdxl	formula-print	OK	10.74	9.08
sdxl	history-flat	OK	10.74	8.98
sdxl	history-storybook	OK	10.74	9.06
pixart-sigma	coloring-book-es	FAIL	-	-
pixart-sigma	flat-illust-es	FAIL	-	-
pixart-sigma	educational-flat	FAIL	-	-
pixart-sigma	educational-flat-es	FAIL	-	-
pixart-sigma	diagram-clean	FAIL	-	-
pixart-sigma	diagram-whiteboard	FAIL	-	-
pixart-sigma	formula-chalkboard	FAIL	-	-
pixart-sigma	formula-print	FAIL	-	-
pixart-sigma	history-flat	FAIL	-	-
pixart-sigma	history-storybook	FAIL	-	-
