model	exp	status	vram_gb	sec_per_img
pixart-sigma	-	SKIP_DISK	-	-
flux2-klein-4b	coloring-book-es	OK	17.32	3.0
flux2-klein-4b	flat-illust-es	OK	17.32	3.18
flux2-klein-4b	educational-flat	OK	17.32	3.13
flux2-klein-4b	educational-flat-es	OK	17.32	3.14
flux2-klein-4b-base	coloring-book-es	OK	17.33	64.44
flux2-klein-4b-base	flat-illust-es	OK	17.33	64.32
flux2-klein-4b-base	educational-flat	OK	17.33	64.29
flux2-klein-4b-base	educational-flat-es	OK	17.33	64.01
zimage-turbo	coloring-book-es	OK	21.67	18.87
zimage-turbo	flat-illust-es	OK	21.67	18.85
zimage-turbo	educational-flat	OK	21.67	18.29
zimage-turbo	educational-flat-es	OK	21.67	18.35
sdxl	coloring-book-es	OK	10.74	8.92
sdxl	flat-illust-es	OK	10.74	8.85
sdxl	educational-flat	OK	10.74	8.96
sdxl	educational-flat-es	OK	10.74	8.96
